train_loss,val_loss,train_accuracy,val_accuracy,val_f1,val_recall
0.2873471063372066,0.6217377779598192,0.8801676509811392,0.6527037319116527,0.5714285714285714,0.4047936085219707
0.13994567704600455,1.8870380565762428,0.9525623928367308,0.46153846153846156,0.11069182389937107,0.05858854860186418
0.09582164651395071,0.47866671555657836,0.964755191465041,0.7083015993907082,0.6577301161751564,0.49001331557922767
0.10839245964752241,0.49843579176628944,0.9580872547151839,0.7242955064737243,0.805793991416309,1.0
0.06079616509044391,0.5389629641472612,0.9794246523147266,0.6915460776846916,0.6308113035551504,0.4607190412782956
0.05035258561889429,0.14770108783689964,0.9847590017146123,0.9154607768469155,0.9202012940330697,0.8521970705725699
0.04643202206706474,0.0397636800187286,0.9883787388073919,0.9855293221629855,0.9871881321645314,0.9747003994673769
0.03531971234444278,0.18318027666481232,0.9897123261573633,0.9070830159939071,0.9115942028985508,0.8375499334221038
0.038220459380634036,5.923579630012831,0.9860925890645837,0.571972581873572,0.7277131782945736,1.0
0.030627332477313855,0.01465476229957107,0.9919984759001714,0.9977151561309977,0.9979986657771848,0.996005326231691
0.0225400196487369,0.023286111499640383,0.9942846256429796,0.9946686976389947,0.9953426480372588,0.996005326231691
0.027839774058293923,0.04807344535245118,0.9921889883787388,0.9900990099009901,0.9913964262078094,0.9973368841544608
