Drift Type,First Tested Significant Drop,Accuracy (%),Drop (percentage points)
Blur,2.0,88.32630098452883,9.14205344585092
Brightness,0.5,63.57243319268636,33.895921237693386
Noise,5.0,90.85794655414908,6.610407876230667
Rotation,5.0,89.73277074542897,7.735583684950782
