Metric,CNN (from scratch),ResNet18 (transfer learning)
Accuracy,0.972027972027972,0.9748251748251748
Precision,0.9977011494252873,1.0
Recall,0.9580573951434879,0.9602649006622517
F1 Score,0.9774774774774775,0.9797297297297297
ROC AUC,0.9971942773368384,0.9988204168983705
